detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,82026.604799035,977.1248456635492,162.0,48,54,6,12,1,593.5819999967862,static,datadriven,demo_valley,5013,13,C,injured,34.0,2,True
False,,180.0,70919.14459595615,938.9091543336972,170.0,42,56,14,11,1,567.4449000052846,static,datadriven,demo_valley,5014,14,C,photographer,79.0,2,True
True,27.0,180.0,9092.925882421028,144.71845743456123,29.0,6,9,3,0,1,606.1900000022433,static,datadriven,demo_valley,5015,15,C,desoriented,70.0,2,True
False,,180.0,80425.41579707144,982.5661781506078,165.0,47,55,8,12,1,549.9118999996426,static,datadriven,demo_valley,5016,16,C,photographer,33.0,2,True
False,,180.0,78049.35277249968,967.9121958584358,167.0,38,55,17,12,1,578.9116999940234,static,datadriven,demo_valley,5017,17,C,desoriented,52.0,2,True
False,,180.0,65530.58476873294,931.3171730295103,179.0,38,59,21,11,1,673.3833999878698,static,datadriven,demo_valley,5018,18,C,hiker,53.0,2,True
True,96.0,180.0,42599.27904120171,512.4780823489007,88.0,19,29,10,6,1,650.9611999981644,static,datadriven,demo_valley,5019,19,C,hiker,72.0,2,True
False,,180.0,91025.08196499058,976.205123207635,150.0,50,50,0,13,1,590.2452999998786,static,datadriven,demo_valley,5020,20,C,desoriented,55.0,2,True
False,,180.0,85442.50165493878,976.333892032354,154.0,49,51,2,12,1,641.0336999924766,static,datadriven,demo_valley,5021,21,C,hiker,81.0,2,True
False,,180.0,85826.59354973384,966.3538776886929,159.0,31,53,22,12,1,563.019200000781,static,datadriven,demo_valley,5022,22,C,photographer,50.0,2,True
False,,180.0,83350.97943059435,955.0628721202199,157.0,36,52,16,13,1,632.1858999945107,static,datadriven,demo_valley,5023,23,C,hiker,70.0,2,True
True,7.0,180.0,5378.858918661904,47.57724896778362,5.0,1,1,0,0,1,117.44399999952293,rolling,datadriven,demo_valley,5000,0,D,hiker,53.0,2,True
True,11.0,180.0,4596.844902613799,59.72766313603936,12.0,3,3,0,0,1,154.63129999989178,rolling,datadriven,demo_valley,5001,1,D,hiker,50.0,2,True
True,40.0,180.0,13614.960820196704,192.2591787637673,37.0,11,12,1,3,4,332.2556000020995,rolling,datadriven,demo_valley,5002,2,D,injured,34.0,2,True
False,,180.0,86631.77931790629,914.2966645049983,135.0,24,45,21,15,14,452.01259999521426,rolling,datadriven,demo_valley,5003,3,D,desoriented,71.0,2,True
True,162.0,180.0,78692.53351915414,849.4692966912185,132.0,22,44,22,14,14,370.87489999430545,rolling,datadriven,demo_valley,5004,4,D,hiker,40.0,2,True
False,,180.0,81217.06801580459,900.1190801571137,138.0,19,46,27,17,15,418.9754000026369,rolling,datadriven,demo_valley,5005,5,D,desoriented,30.0,2,True
False,,180.0,89425.04101642803,961.3909533732997,141.0,34,47,13,14,15,576.1082999961218,rolling,datadriven,demo_valley,5006,6,D,injured,58.0,2,True
False,,180.0,89771.38447246554,939.7586816168281,141.0,26,47,21,16,15,402.6997999935702,rolling,datadriven,demo_valley,5007,7,D,desoriented,67.0,2,True
False,,180.0,100176.60874668052,938.5216642942855,126.0,21,42,21,17,13,481.4867999912167,rolling,datadriven,demo_valley,5008,8,D,hiker,89.0,2,True
False,,180.0,87414.2575607931,920.4859078155135,135.0,22,45,23,15,14,373.3237000014924,rolling,datadriven,demo_valley,5009,9,D,hiker,47.0,2,True
False,,180.0,89677.50779710934,905.5959974803081,132.0,23,44,21,16,14,511.4512999953149,rolling,datadriven,demo_valley,5010,10,D,desoriented,57.0,2,True
False,,180.0,74106.88155611299,906.2529519275672,150.0,28,50,22,16,16,530.500599989864,rolling,datadriven,demo_valley,5011,11,D,desoriented,45.0,2,True
False,,180.0,91175.7957651087,946.7091191775559,135.0,28,45,17,14,14,541.2481000057596,rolling,datadriven,demo_valley,5012,12,D,hiker,66.0,2,True
False,,180.0,91762.67751522077,946.8502943207322,135.0,31,45,14,14,14,400.5817000015668,rolling,datadriven,demo_valley,5013,13,D,injured,34.0,2,True
False,,180.0,67476.71413366329,884.5238269883391,156.0,14,52,38,16,17,309.3111999942266,rolling,datadriven,demo_valley,5014,14,D,photographer,79.0,2,True
True,27.0,180.0,9598.056179823867,134.98288770365608,25.0,6,8,2,1,2,143.4843999986697,rolling,datadriven,demo_valley,5015,15,D,desoriented,70.0,2,True
False,,180.0,93812.60252970966,963.9996608998879,135.0,22,45,23,15,14,289.3076999962432,rolling,datadriven,demo_valley,5016,16,D,photographer,33.0,2,True
True,116.0,180.0,57376.84057835741,615.867971828209,91.0,20,30,10,9,10,316.22829999378155,rolling,datadriven,demo_valley,5017,17,D,desoriented,52.0,2,True
