18:56:45 INFO generating 250 training incidents ...
18:56:51 INFO saved C:\Users\ADMIN\Downloads\Khóa luận\uav-sar\data\models\demo_valley_pmr.npz
18:56:51 INFO evaluating on 80 held-out incidents ...
19:00:02 INFO arm pq|mixed|veg1.0            rep  8/24 det=False t=180
19:00:03 INFO arm pq|mixed|veg1.0            rep  9/24 det=False t=180
19:00:03 INFO arm pq|mixed|veg1.0            rep 10/24 det=False t=180
19:00:04 INFO arm pq|mixed|veg1.0            rep 11/24 det=False t=180
19:00:05 INFO arm pq|mixed|veg1.0            rep 12/24 det=False t=180
19:00:05 INFO arm pq|mixed|veg1.0            rep 13/24 det=True t=143
19:00:05 INFO arm pq|mixed|veg1.0            rep 14/24 det=True t=26
19:00:06 INFO arm pq|mixed|veg1.0            rep 15/24 det=False t=180
19:00:07 INFO arm pq|mixed|veg1.0            rep 16/24 det=False t=180
19:00:07 INFO arm pq|mixed|veg1.0            rep 17/24 det=False t=180
19:00:08 INFO arm pq|mixed|veg1.0            rep 18/24 det=False t=180
19:00:09 INFO arm pq|mixed|veg1.0            rep 19/24 det=True t=71
19:00:10 INFO arm pq|mixed|veg1.0            rep 20/24 det=False t=180
19:00:10 INFO arm pq|mixed|veg1.0            rep 21/24 det=False t=180
19:00:11 INFO arm pq|mixed|veg1.0            rep 22/24 det=False t=180
19:00:11 INFO arm pq|mixed|veg1.0            rep 23/24 det=False t=180
19:00:12 INFO arm pq|mixed|veg1.0            rep 24/24 det=False t=180
19:00:13 INFO arm p |mixed|veg1.0            rep  1/24 det=False t=180
19:00:14 INFO arm p |mixed|veg1.0            rep  2/24 det=False t=180
19:00:14 INFO arm p |mixed|veg1.0            rep  3/24 det=False t=180
19:00:15 INFO arm p |mixed|veg1.0            rep  4/24 det=False t=180
19:00:15 INFO arm p |mixed|veg1.0            rep  5/24 det=True t=80
19:00:16 INFO arm p |mixed|veg1.0            rep  6/24 det=False t=180
19:00:16 INFO arm p |mixed|veg1.0            rep  7/24 det=False t=180
19:00:17 INFO arm p |mixed|veg1.0            rep  8/24 det=False t=180
19:00:17 INFO arm p |mixed|veg1.0            rep  9/24 det=False t=180
19:00:18 INFO arm p |mixed|veg1.0            rep 10/24 det=False t=180
19:00:18 INFO arm p |mixed|veg1.0            rep 11/24 det=True t=67
19:00:19 INFO arm p |mixed|veg1.0            rep 12/24 det=False t=180
19:00:20 INFO arm p |mixed|veg1.0            rep 13/24 det=False t=180
19:00:20 INFO arm p |mixed|veg1.0            rep 14/24 det=False t=180
19:00:22 INFO arm p |mixed|veg1.0            rep 15/24 det=False t=180
19:00:22 INFO arm p |mixed|veg1.0            rep 16/24 det=False t=180
19:00:23 INFO arm p |mixed|veg1.0            rep 17/24 det=False t=180
19:00:25 INFO arm p |mixed|veg1.0            rep 18/24 det=True t=141
19:00:26 INFO arm p |mixed|veg1.0            rep 19/24 det=True t=87
19:00:26 INFO arm p |mixed|veg1.0            rep 20/24 det=False t=180
19:00:26 INFO arm p |mixed|veg1.0            rep 21/24 det=True t=39
19:00:27 INFO arm p |mixed|veg1.0            rep 22/24 det=False t=180
19:00:28 INFO arm p |mixed|veg1.0            rep 23/24 det=False t=180
19:00:28 INFO arm p |mixed|veg1.0            rep 24/24 det=False t=180
19:00:29 INFO arm pq|homRGB|veg1.0           rep  1/24 det=False t=180
19:00:30 INFO arm pq|homRGB|veg1.0           rep  2/24 det=False t=180
19:00:30 INFO arm pq|homRGB|veg1.0           rep  3/24 det=False t=180
19:00:31 INFO arm pq|homRGB|veg1.0           rep  4/24 det=False t=180
19:00:32 INFO arm pq|homRGB|veg1.0           rep  5/24 det=False t=180
19:00:32 INFO arm pq|homRGB|veg1.0           rep  6/24 det=False t=180
19:00:33 INFO arm pq|homRGB|veg1.0           rep  7/24 det=False t=180
19:00:34 INFO arm pq|homRGB|veg1.0           rep  8/24 det=False t=180
19:00:34 INFO arm pq|homRGB|veg1.0           rep  9/24 det=False t=180
19:00:35 INFO arm pq|homRGB|veg1.0           rep 10/24 det=False t=180
19:00:36 INFO arm pq|homRGB|veg1.0           rep 11/24 det=False t=180
19:00:36 INFO arm pq|homRGB|veg1.0           rep 12/24 det=False t=180
19:00:37 INFO arm pq|homRGB|veg1.0           rep 13/24 det=False t=180
19:00:37 INFO arm pq|homRGB|veg1.0           rep 14/24 det=True t=175
19:00:38 INFO arm pq|homRGB|veg1.0           rep 15/24 det=False t=180
19:00:39 INFO arm pq|homRGB|veg1.0           rep 16/24 det=False t=180
19:00:40 INFO arm pq|homRGB|veg1.0           rep 17/24 det=False t=180
19:00:41 INFO arm pq|homRGB|veg1.0           rep 18/24 det=False t=180
19:00:42 INFO arm pq|homRGB|veg1.0           rep 19/24 det=False t=180
19:00:42 INFO arm pq|homRGB|veg1.0           rep 20/24 det=False t=180
19:00:43 INFO arm pq|homRGB|veg1.0           rep 21/24 det=False t=180
