detected,detect_time_min,horizon_min,flight_distance_m,energy_wh,search_minutes,unique_cells_searched,total_search_ops,redundant_search_ops,n_swaps,n_replans,replan_ms_total,planner,initial_model,area_name,seed,replicate,arm,target_profile,elapsed_before_min,n_uavs,moving_target
False,,180.0,65941.18745796909,843.9375734417779,157.0,9,52,43,16,17,509.539800004859,rolling,datadriven,demo_valley,4020,20,pq|homRGB|veg1.0,hiker,40.0,2,True
False,,180.0,91940.11579169161,929.5450468327858,147.0,17,49,32,15,16,383.44079999751557,rolling,datadriven,demo_valley,4021,21,pq|homRGB|veg1.0,hiker,82.0,2,True
False,,180.0,98128.31641141877,940.9887335828,138.0,12,46,34,15,15,475.5801000073916,rolling,datadriven,demo_valley,4022,22,pq|homRGB|veg1.0,photographer,80.0,2,True
False,,180.0,67805.3966625159,857.6333133872591,159.0,7,53,46,17,15,591.9829000040409,rolling,datadriven,demo_valley,4023,23,pq|homRGB|veg1.0,photographer,52.0,2,True
False,,180.0,90837.15782297778,905.789128624479,138.0,25,46,21,16,15,328.6963999971704,rolling,datadriven,demo_valley,4000,0,p |homRGB|veg1.0,injured,38.0,2,True
False,,180.0,90069.69948375628,877.9918968859943,135.0,19,45,26,15,14,498.6769999968601,rolling,datadriven,demo_valley,4001,1,p |homRGB|veg1.0,desoriented,55.0,2,True
True,10.0,180.0,5340.069308022247,62.27883593208536,11.0,3,3,0,0,1,147.034600002371,rolling,datadriven,demo_valley,4002,2,p |homRGB|veg1.0,hiker,87.0,2,True
False,,180.0,89847.96348310361,891.9772837786455,138.0,11,46,35,16,14,455.4774999969595,rolling,datadriven,demo_valley,4003,3,p |homRGB|veg1.0,photographer,69.0,2,True
False,,180.0,77830.00081096136,880.9211805275528,153.0,15,51,36,16,16,387.83459999194747,rolling,datadriven,demo_valley,4004,4,p |homRGB|veg1.0,photographer,84.0,2,True
False,,180.0,75673.71130292451,859.7798919671254,147.0,19,49,30,17,16,401.3297999990755,rolling,datadriven,demo_valley,4005,5,p |homRGB|veg1.0,photographer,56.0,2,True
False,,180.0,97676.47839469538,912.9847485897653,138.0,21,46,25,14,15,262.12009999653674,rolling,datadriven,demo_valley,4006,6,p |homRGB|veg1.0,hiker,35.0,2,True
False,,180.0,89931.11515003613,879.7855325156713,135.0,25,45,20,16,15,370.03400000230613,rolling,datadriven,demo_valley,4007,7,p |homRGB|veg1.0,desoriented,88.0,2,True
False,,180.0,100705.91145609805,925.7307085216039,132.0,17,44,27,16,15,293.78270000324846,rolling,datadriven,demo_valley,4008,8,p |homRGB|veg1.0,injured,72.0,2,True
False,,180.0,93671.11098174614,892.9720393054301,135.0,18,45,27,15,14,856.1464999902455,rolling,datadriven,demo_valley,4009,9,p |homRGB|veg1.0,photographer,49.0,2,True
False,,180.0,90298.89776493341,876.7693432669809,135.0,20,45,25,15,14,413.98770000250806,rolling,datadriven,demo_valley,4010,10,p |homRGB|veg1.0,photographer,47.0,2,True
False,,180.0,94050.46733629185,874.4923129189672,135.0,26,45,19,15,14,364.37660000592587,rolling,datadriven,demo_valley,4011,11,p |homRGB|veg1.0,hiker,37.0,2,True
False,,180.0,89295.46450790371,892.5680700692795,138.0,24,46,22,16,15,306.0325999958877,rolling,datadriven,demo_valley,4012,12,p |homRGB|veg1.0,desoriented,67.0,2,True
True,49.0,180.0,22530.56809963115,251.3582170941881,43.0,8,14,6,4,5,303.50669999734237,rolling,datadriven,demo_valley,4013,13,p |homRGB|veg1.0,injured,46.0,2,True
False,,180.0,75717.3876896152,867.792796642061,153.0,15,51,36,16,16,382.4624000071708,rolling,datadriven,demo_valley,4014,14,p |homRGB|veg1.0,photographer,32.0,2,True
False,,180.0,89340.89988672028,889.8012769983702,141.0,21,47,26,15,14,337.5468999902296,rolling,datadriven,demo_valley,4015,15,p |homRGB|veg1.0,injured,81.0,2,True
True,2.0,180.0,1508.0109889280518,10.1481495226236,1.0,0,0,0,0,1,123.69929999931628,rolling,datadriven,demo_valley,4016,16,p |homRGB|veg1.0,injured,57.0,2,True
False,,180.0,89233.04770163127,890.9871674688677,144.0,17,48,31,14,14,487.56159999720694,rolling,datadriven,demo_valley,4017,17,p |homRGB|veg1.0,injured,66.0,2,True
False,,180.0,78524.84137210977,881.2564243851681,153.0,11,51,40,16,16,579.7310000016296,rolling,datadriven,demo_valley,4018,18,p |homRGB|veg1.0,photographer,73.0,2,True
False,,180.0,85986.97239983105,870.7557551842135,138.0,24,46,22,17,15,444.60049999906914,rolling,datadriven,demo_valley,4019,19,p |homRGB|veg1.0,hiker,43.0,2,True
False,,180.0,85485.57206088927,898.1214847208357,140.0,16,46,30,17,16,466.29339999435615,rolling,datadriven,demo_valley,4020,20,p |homRGB|veg1.0,hiker,40.0,2,True
False,,180.0,91540.02951330817,866.3731196725357,135.0,29,45,16,15,14,416.10590000982484,rolling,datadriven,demo_valley,4021,21,p |homRGB|veg1.0,hiker,82.0,2,True
False,,180.0,84407.26664467025,868.7828606363585,144.0,15,48,33,16,15,507.52070000544336,rolling,datadriven,demo_valley,4022,22,p |homRGB|veg1.0,photographer,80.0,2,True
False,,180.0,71573.59125465294,861.90147431974,156.0,18,52,34,17,17,742.8057999968587,rolling,datadriven,demo_valley,4023,23,p |homRGB|veg1.0,photographer,52.0,2,True
